country,mean_mae,std_mae,best_params
Samoa,3.5181806123968933,0.6824395601156538,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
San Marino,3.9856183573956456,0.42997164857496617,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Saudi Arabia,3.455122119443657,1.1053270197889644,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Senegal,1.9929898900120981,0.6068110304870505,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Serbia,3.2257665661338577,1.2085491582981045,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Seychelles,3.7703698676871635,1.7175968777483204,"{'initialization_method': 'estimated', 'smoothing_level': 0.9}"
Sierra Leone,6.775949473518537,4.793933990082841,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Singapore,3.449742732391632,0.9285197903501581,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Slovak Republic,2.524391793825332,1.284002909622329,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Slovenia,2.0230087948321835,0.7818647669048059,"{'initialization_method': 'estimated', 'smoothing_level': 0.5}"
Solomon Islands,3.818416162808643,1.0971614923522803,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Somalia,1.3038797350898985,0.3571476505095375,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
South Africa,1.9043415730954898,0.6919315879897927,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Republic of South Sudan,11.923162138260288,3.5341553715874165,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Spain,2.2535432061656393,0.5593529195897919,"{'initialization_method': 'estimated', 'smoothing_level': 0.8}"
Sri Lanka,4.397964955736097,0.40855124653920394,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Sudan,4.444513553144717,1.5068625855051856,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Suriname,4.448197931187547,1.0564071913906357,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
Sweden,1.8591416121503948,0.3657683384918779,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Switzerland,1.3329651426476319,0.5159501276152597,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Syria,3.8952130178273956,1.5898973984137053,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
São Tomé and Príncipe,1.7315308467256887,0.7913284139962969,"{'initialization_method': 'estimated', 'smoothing_level': 0.2}"
Taiwan Province of China,2.4081931119976194,0.8386259451630743,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Tajikistan,5.152854901607032,6.442273938083087,"{'initialization_method': 'estimated', 'smoothing_level': 0.4}"
Tanzania,1.563430187414944,0.7866705161085205,"{'initialization_method': 'estimated', 'smoothing_level': 0.4}"
Thailand,3.469447590217927,1.7713907541726936,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Timor-Leste,3.606950638177575,1.92410753518953,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Togo,3.7526075683567854,2.621524100521487,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Tonga,2.363135626880749,0.6888245193223709,"{'initialization_method': 'estimated', 'smoothing_level': 0.2}"
Trinidad and Tobago,4.217842012146712,1.5425155269986894,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
Tunisia,2.4112752068169234,0.4859130838632463,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Turkmenistan,8.361929416325312,3.888610723947449,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Tuvalu,4.274837901847824,0.8334705340421689,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Republic of Turkiye,3.488487473008469,0.7263763192754158,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Uganda,2.093422247830861,0.36189161842392054,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Ukraine,7.506945218280469,1.9127583810665247,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
United Arab Emirates,3.6853301315848115,1.4985618965762413,"{'initialization_method': 'estimated', 'smoothing_level': 0.9}"
United Kingdom,1.8531462123232179,0.9101986892036126,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
United States,1.3147537162749572,0.486428741999313,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Uruguay,3.060295215818416,0.8721168965819706,"{'initialization_method': 'estimated', 'smoothing_level': 0.8}"
Uzbekistan,3.726506918559858,4.16825173064675,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
Vanuatu,2.50187386401485,0.6269639082171791,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Venezuela,8.732654076830226,4.011848974391172,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
Vietnam,1.3228105739061318,0.525301702575833,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
West Bank and Gaza,6.456936372033991,2.721145148062429,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Yemen,5.82916565345518,2.2261469661470854,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
Zambia,2.949858394054119,1.6802175562282133,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Zimbabwe,6.854292099091002,1.8073131465853196,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Africa (Region),1.282476317078617,0.37680286036827143,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Asia and Pacific,1.2332875870377848,0.433553846911295,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Australia and New Zealand,1.0785094443408911,0.45935920100248834,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Caribbean,2.2630525450932666,1.3525923917012024,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Central America,1.617005578521971,0.8589483021888777,"{'initialization_method': 'estimated', 'smoothing_level': 0.8}"
Central Asia and the Caucasus,4.5952878179726495,3.562951641863672,"{'initialization_method': 'estimated', 'smoothing_level': 0.2}"
East Asia,1.2169231249819819,0.46060246944080074,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Eastern Europe ,3.904310006818895,2.4499813679776414,"{'initialization_method': 'estimated', 'smoothing_level': 0.2}"
Europe,1.585736887200919,0.6277743975352249,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Middle East (Region),2.5794366996231717,1.0461852603649464,"{'initialization_method': 'estimated', 'smoothing_level': 0.8}"
North Africa,1.600015092439161,0.5250435444962944,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
North America,1.3207006195951099,0.5111878109550255,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Pacific Islands ,2.8470350454426137,0.8430543023901996,"{'initialization_method': 'estimated', 'smoothing_level': 0.7000000000000001}"
South America,2.5981597313634492,0.6215442508772895,"{'initialization_method': 'estimated', 'smoothing_level': 0.7000000000000001}"
